City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
331,vwawa,-9.1167,32.9333,296.14,49,100,1.15,TZ,1697570509
332,luderitz,-26.6481,15.1594,292.92,64,1,4.25,NA,1697570249
333,shakawe,-18.3667,21.85,297.71,10,100,2.9,BW,1697570510
334,baykalovo,57.3981,63.7684,285.86,61,0,7.31,RU,1697570510
335,vrangel',42.7297,133.0839,283.17,50,24,2.09,RU,1697570510
336,saipan,15.1355,145.701,301.54,89,75,4.63,MP,1697570510
337,dunedin,-45.8742,170.5036,279.95,77,91,1.57,NZ,1697570510
338,mossel bay,-34.1831,22.146,290.85,79,0,1.4,ZA,1697570385
339,antsiranana,-12.2787,49.2917,297.39,83,11,5.12,MG,1697570511
340,al burayqah,30.4062,19.5739,296.75,67,0,3.26,LY,1697570511
341,road town,18.4167,-64.6167,304.2,70,20,3.6,VG,1697570511
342,smara,26.7384,-11.6719,304.84,21,15,2.53,EH,1697570512
343,talcahuano,-36.7167,-73.1167,293.97,46,0,2.06,CL,1697570512
344,bubaque,11.2833,-15.8333,301.02,76,52,2.31,GW,1697570299
345,jayapura,-2.5333,140.7,297.37,91,83,1.24,ID,1697570512
346,grantsville,40.5999,-112.4644,295.73,47,0,1.84,US,1697570512
347,jilib,0.4883,42.7854,299.32,84,48,3.85,SO,1697570512
348,long beach,33.767,-118.1892,304.25,71,0,2.57,US,1697570290
349,mananjary,-21.2167,48.3333,296.07,92,95,5.12,MG,1697570513
350,rice lake,45.5061,-91.7382,290.17,54,40,2.57,US,1697570513
351,amalapuram,16.5833,82.0167,297.94,82,51,0.8,IN,1697570513
352,dapa,9.7594,126.0531,300.24,78,84,1.28,PH,1697570513
353,carahue,-38.7,-73.1667,296.2,32,0,2.69,CL,1697570514
354,tuchkovo,55.6011,36.4681,277.04,89,100,5.95,RU,1697570514
355,ola,59.5833,151.2833,271.16,61,0,5.75,RU,1697570349
356,nizhniy lomov,53.5304,43.6766,276.95,72,100,7.45,RU,1697570514
357,saint-philippe,-21.3585,55.7679,297.92,83,100,2.87,RE,1697570514
358,akureyri,65.6835,-18.0878,279.11,70,75,1.54,IS,1697570514
359,jumla,29.2747,82.1838,279.04,83,3,1.92,NP,1697570514
360,novorozhdestvenskaya,45.8619,39.9542,283.76,64,62,2.44,RU,1697570515
361,flat rock,42.0964,-83.2919,285.39,71,100,3.09,US,1697570515
